frame,x,y,area_px,intensity,area_km2,cluster_id,occurrences
0,333.6666666666667,0.3333333333333333,3.0,4679.8115234375,103954.8717643702,0,13
0,1122.625,6.625,8.0,5084.92578125,277212.99137165386,3,24
0,1712.0,331.6666666666667,3.0,4013.16796875,103954.8717643702,20,1
0,1089.5714285714287,793.0,7.0,4881.203125,242561.3674501971,42,2
0,1013.0,1006.5,4.0,4780.5078125,138606.49568582693,68,1
0,303.0,1280.0,3.0,4484.013671875,103954.8717643702,73,2
0,1819.3333333333333,2025.0,3.0,4105.4716796875,103954.8717643702,74,18
0,1820.3333333333333,2029.0,3.0,4679.8115234375,103954.8717643702,74,18
1,333.6,0.8,5.0,6056.455078125,173258.11960728368,0,13
1,1123.0,7.0,3.0,4679.8115234375,103954.8717643702,3,24
1,158.625,195.375,8.0,4881.203125,277212.99137165386,76,5
1,1088.6666666666667,791.3333333333334,3.0,4881.203125,103954.8717643702,42,2
1,1419.0,891.3333333333334,3.0,4198.2431640625,103954.8717643702,88,7
1,852.0,911.0,3.0,7113.76123046875,103954.8717643702,89,1
1,726.25,1133.5,4.0,4105.4716796875,138606.49568582693,93,10
2,333.1111111111111,1.7777777777777777,9.0,9341.0048828125,311864.6152931106,0,13
2,1122.5714285714287,7.857142857142857,7.0,5723.6181640625,242561.3674501971,3,24
2,1083.125,844.125,8.0,5723.6181640625,277212.99137165386,96,11
2,1819.7,2026.7,10.0,7864.99072265625,346516.23921456735,74,18
3,332.8,1.3,10.0,8255.447265625,346516.23921456735,0,13
3,155.22222222222223,194.77777777777777,9.0,6751.5361328125,311864.6152931106,76,5
3,159.33333333333334,197.33333333333334,3.0,4679.8115234375,103954.8717643702,76,5
3,1700.142857142857,317.57142857142856,7.0,4679.8115234375,242561.3674501971,101,1
3,1195.3333333333333,816.6666666666666,3.0,3831.822265625,103954.8717643702,104,3
3,725.6666666666666,1134.3333333333333,3.0,3921.7958984375,103954.8717643702,93,10
3,1819.4,2028.2,5.0,6515.1806640625,173258.11960728368,74,18
4,332.25,2.0,8.0,6991.7958984375,277212.99137165386,0,13
4,338.0,6.0,3.0,4387.2587890625,103954.8717643702,107,1
4,1121.0,6.0,3.0,5085.0625,103954.8717643702,3,24
4,154.77777777777777,194.55555555555554,9.0,4981.6142578125,311864.6152931106,76,5
4,1194.6666666666667,816.3333333333334,3.0,3921.7431640625,103954.8717643702,104,3
4,1818.5,2028.0,4.0,4981.6142578125,138606.49568582693,74,18
5,331.42857142857144,1.2857142857142858,7.0,5833.9404296875,242561.3674501971,0,13
5,1121.0,5.0,3.0,5506.5126953125,103954.8717643702,3,24
5,153.85714285714286,192.71428571428572,7.0,4679.7587890625,242561.3674501971,76,5
5,1194.2,814.4,5.0,4105.8505859375,173258.11960728368,104,3
5,1178.0,949.0,3.0,4198.1669921875,103954.8717643702,117,8
6,330.25,0.75,4.0,4387.62890625,138606.49568582693,0,13
6,1119.4,6.2,5.0,5084.9111328125,173258.11960728368,3,24
6,152.5,192.0,4.0,4292.1875,138606.49568582693,76,5
6,1109.6666666666667,794.3333333333334,3.0,4387.62890625,103954.8717643702,121,1
